TITLE,REGION,DISTANCE,DIST_TYPE,GAIN,HIGHEST,RATING,RATING_COUNT,LATITUDE,LONGITUDE,REPORT_DATE,REPORT_COUNT,URL
Beacon Rock State Park - Hamilton Mountain,Southwest Washington,7.5,roundtrip,2000,2400,4.32,22,45.6325,-122.02,3/12/21,142,https://www.wta.org/go-hiking/hikes/hamilton-mountain
Beacon Rock State Park - Hardy Creek,Southwest Washington,,,,,2,1,45.64302806,-122.012701,7/26/20,13,https://www.wta.org/go-hiking/hikes/hardy-creek
Beacon Rock State Park - Hardy Ridge,Southwest Washington,9.5,roundtrip,1860,2700,3.5,2,45.6380439,-122.0318366,7/19/20,24,https://www.wta.org/go-hiking/hikes/hardy-ridge
Beacon Rock State Park - Hardy and Rodney Falls,Southwest Washington,3.5,roundtrip,1200,1648,3,4,45.6325,-122.02,3/10/21,25,https://www.wta.org/go-hiking/hikes/hardy-rodney-falls
Beacon Rock State Park - Little Beacon Trail,Southwest Washington,0.5,roundtrip,108,683,0,0,45.63574851,-122.024029,7/3/20,3,https://www.wta.org/go-hiking/hikes/little-beacon-trail
Beacon Rock State Park - River To Rock Trail,Southwest Washington,1,roundtrip,200,280,0,0,45.62139753,-122.0233432,9/5/20,8,https://www.wta.org/go-hiking/hikes/river-to-rock-trail
Bead Lake,Eastern Washington,11.4,roundtrip,400,,3.71,7,48.2896558,-117.1075482,1/23/21,35,https://www.wta.org/go-hiking/hikes/bead-lake
Bean Creek Basin,Snoqualmie Region,4.8,roundtrip,1800,5500,3.5,24,47.388767,-120.872317,11/6/20,277,https://www.wta.org/go-hiking/hikes/bean-creek-basin
Bean Peak,Snoqualmie Region,1.4,roundtrip,1143,6743,4,5,47.41381,-120.85868,11/6/20,82,https://www.wta.org/go-hiking/hikes/bean-peak
Bear Canyon,Central Washington,6.4,roundtrip,1130,3200,3.29,7,46.70642042,-120.8904905,3/22/21,53,https://www.wta.org/go-hiking/hikes/bear-canyon
Bear Creek,Eastern Washington,,,,,2.5,4,,,5/27/17,2,https://www.wta.org/go-hiking/hikes/bear-creek
Bear Creek Falls,North Cascades,,,,,3.33,3,48.6184703,-121.7369699,5/8/17,12,https://www.wta.org/go-hiking/hikes/bear-creek-falls
Bear Creek Mountain,South Cascades,7,roundtrip,1237,7337,3.5,10,46.53810187,-121.3162138,10/3/20,59,https://www.wta.org/go-hiking/hikes/bear-creek-mountain
Bear Creek via Table Springs Ridge,Eastern Washington,13,roundtrip,2840,5280,0,0,45.90113388,-118.0329251,5/27/17,1,https://www.wta.org/go-hiking/hikes/table-springs-bear-creek
Bear Gap,South Cascades,,,,,2.25,4,,,8/25/20,25,https://www.wta.org/go-hiking/hikes/bear-gap
Bear Lake,Southwest Washington,2.4,roundtrip,475,4100,0,0,45.636267,-121.7426,,0,https://www.wta.org/go-hiking/hikes/bear-lake-3
Bear Lake,Eastern Washington,,,,,3.4,5,47.92275568,-117.3513007,6/21/20,6,https://www.wta.org/go-hiking/hikes/bear-lake-1
Bear Lake,South Cascades,,,,,4,1,,,6/29/19,4,https://www.wta.org/go-hiking/hikes/bear-lake-4
Bear Lake,North Cascades,0.8,roundtrip,75,,3.09,11,48.0598187,-121.7370466,3/18/21,77,https://www.wta.org/go-hiking/hikes/bear-lake-2
Bear Lake Snowshoe,North Cascades,10,roundtrip,1400,2775,2.5,2,,,3/18/21,6,https://www.wta.org/go-hiking/hikes/bear-lake-snowshoe
Bear Mountain,Olympic Peninsula,,,,,2.25,4,,,2/20/12,1,https://www.wta.org/go-hiking/hikes/bear-mountain
Bear Ridge,Issaquah Alps,3,roundtrip,,,3,5,47.52685953,-122.0640834,3/19/21,55,https://www.wta.org/go-hiking/hikes/bear-ridge
Bearhead Mountain,Mount Rainier Area,6,roundtrip,1800,6089,3.88,16,47.03138333,-121.82575,1/16/21,163,https://www.wta.org/go-hiking/hikes/bearhead
Bearpaw Mountain Lake,North Cascades,1.6,roundtrip,650,,0,0,48.9593,-121.807,6/29/19,4,https://www.wta.org/go-hiking/hikes/bearpaw-mountain-lake-757
Bears Breast,Central Cascades,,,,,3.33,3,,,9/13/08,1,https://www.wta.org/go-hiking/hikes/bears-breast
Bearscout Peak,Snoqualmie Region,,,,5210,0,0,47.3325554,-121.4844987,6/2/20,9,https://www.wta.org/go-hiking/hikes/bearscout-peak
Beauty Creek,North Cascades,,,,,4.75,4,,,11/11/19,3,https://www.wta.org/go-hiking/hikes/beauty-creek
Beaver Lake,North Cascades,4.2,roundtrip,100,1000,3.36,14,48.1706,-121.47215,3/20/21,140,https://www.wta.org/go-hiking/hikes/beaver-lake-1
Beaver Lake,North Cascades,2,roundtrip,400,5500,3.43,7,48.46806532,-119.8835897,8/4/19,10,https://www.wta.org/go-hiking/hikes/beaver-lake
Beaver Lake Park,Puget Sound and Islands,,,,,0,0,47.58525368,-122.012701,,0,https://www.wta.org/go-hiking/hikes/beaver-lake-park
Beaver Lake Preserve,Issaquah Alps,1.2,roundtrip,50,460,3.11,9,47.59739515,-121.99193,12/24/20,29,https://www.wta.org/go-hiking/hikes/beaver-lake-preserve
Beaver Loop,North Cascades,1.65,roundtrip,,,0,0,48.5967649,-120.45113,6/11/20,5,https://www.wta.org/go-hiking/hikes/beaver-loop
Beaver Marsh Loop,Southwest Washington,1,roundtrip,10,,0,0,45.65077586,-122.5720382,4/26/20,1,https://www.wta.org/go-hiking/hikes/beaver-marsh-loop
Beaver Pass,North Cascades,,,,,1,1,,,8/31/19,5,https://www.wta.org/go-hiking/hikes/beaver-pass
Beaver Peak,North Cascades,2.6,roundtrip,1700,5113,0,0,48.09845,-121.50823,8/26/16,1,https://www.wta.org/go-hiking/hikes/beaver-peak
Beaver Pond Trail,Puget Sound and Islands,1.6,roundtrip,,,0,0,48.41027138,-122.2781311,11/11/19,9,https://www.wta.org/go-hiking/hikes/eaglemont-trail-mount-vernon-parks-rec
Beaver Valley,Issaquah Alps,,,,,2.8,5,,,6/7/13,2,https://www.wta.org/go-hiking/hikes/beaver-valley
Beckler Peak,Central Cascades,7.6,roundtrip,2240,5026,4.51,67,47.72425586,-121.2667036,3/27/21,673,https://www.wta.org/go-hiking/hikes/beckler-peak
Bedal Basin,North Cascades,5.2,roundtrip,1900,4700,2,7,48.070136,-121.375279,10/19/19,40,https://www.wta.org/go-hiking/hikes/bedal-creek
Bedal Peak,North Cascades,7.3,roundtrip,4500,6554,4,1,48.070136,-121.375279,6/5/20,16,https://www.wta.org/go-hiking/hikes/bedal-peak
Beebe Creek Wildlife Area,Central Cascades,2,roundtrip,,,3,1,47.81937923,-119.9731064,10/12/20,4,https://www.wta.org/go-hiking/hikes/beebe-creek-wildlife-area
Beefhide Butte,North Cascades,,,,8030,0,0,48.227461,-120.391392,7/15/17,1,https://www.wta.org/go-hiking/hikes/beefhide-butte
Beezley Hills Preserve,Central Washington,2.3,roundtrip,400,1750,2.3,10,47.3186,-119.7998,1/18/21,28,https://www.wta.org/go-hiking/hikes/beezley-hills-preserve
Behren's Woods,Southwest Washington,,,,,0,0,45.599268,-122.526492,,0,https://www.wta.org/go-hiking/hikes/behrens-woods
Bell Pass,North Cascades,,,,,3,4,48.69246667,-121.9029667,8/9/20,17,https://www.wta.org/go-hiking/hikes/bell-pass
Bell Point and English Camp,Puget Sound and Islands,1.7,roundtrip,50,50,0,0,48.586517,-123.1479,2/14/20,9,https://www.wta.org/go-hiking/hikes/bell-point-and-english-camp
Bellevue Botanical Garden,Puget Sound and Islands,1.7,roundtrip,,,3.33,3,47.6100083,-122.1781118,3/20/21,35,https://www.wta.org/go-hiking/hikes/bellevue-botanical-garden
Bells Mountain,Southwest Washington,15.4,roundtrip,1100,1500,3.25,4,45.82856002,-122.3876953,12/13/20,36,https://www.wta.org/go-hiking/hikes/bells-mt
Bench Lake Loop,South Cascades,3.4,roundtrip,,,5,1,46.161216,-121.40087,9/14/14,3,https://www.wta.org/go-hiking/hikes/bench-lake-loop
Bench and Snow Lakes,Mount Rainier Area,2.5,roundtrip,610,4725,4.21,19,46.76784973,-121.7076212,10/12/20,174,https://www.wta.org/go-hiking/hikes/bench-and-snow-lakes
Bennington Lake,Eastern Washington,20,trails,,,5,2,46.06600526,-118.2643756,4/18/18,6,https://www.wta.org/go-hiking/hikes/bennington-lake
Berkeley Park,Mount Rainier Area,7.7,roundtrip,1700,6800,3.67,15,46.914617,-121.642333,9/3/20,157,https://www.wta.org/go-hiking/hikes/berkeley-park
Bernhardt Mine,North Cascades,5.2,roundtrip,1600,7350,2.75,4,48.60330888,-120.0938636,7/19/19,5,https://www.wta.org/go-hiking/hikes/bernhardt-mine
Bernice Lake,Central Cascades,,,,,4.5,4,,,8/19/07,2,https://www.wta.org/go-hiking/hikes/bernice-lake
Bertha May and Granite Lakes,South Cascades,3,roundtrip,900,4400,5,6,46.705,-121.9319,1/1/21,57,https://www.wta.org/go-hiking/hikes/bertha-may-and-granite-lakes
Berthusen Park,Puget Sound and Islands,,,,,0,0,48.96325806,-122.5134265,3/10/21,1,https://www.wta.org/go-hiking/hikes/berthusen-park
Bessemer Mountain,Snoqualmie Region,13,roundtrip,4100,5028,3.2,10,47.51588333,-121.6134167,3/21/21,94,https://www.wta.org/go-hiking/hikes/bessemer-mountain
Bessequartz Peak,Snoqualmie Region,,,,4481,5,1,,,12/21/20,2,https://www.wta.org/go-hiking/hikes/bessequartz
Beth Lake,Eastern Washington,1.9,roundtrip,,2498,3,5,48.84944542,-118.9674068,8/18/19,2,https://www.wta.org/go-hiking/hikes/beth-lake
Beverly Turnpike,Snoqualmie Region,7.4,roundtrip,,,2.75,8,47.38923333,-120.8724667,10/28/20,177,https://www.wta.org/go-hiking/hikes/beverly-turnpike
Big Beaver Trail,North Cascades,24.6,one-way,500,1980,3.44,9,48.7240592,-121.066395,3/16/21,96,https://www.wta.org/go-hiking/hikes/big-beaver
Big Bend/Landsburg Reach Natural Area,Puget Sound and Islands,2,roundtrip,,,2,2,47.37509455,-121.9712073,7/6/19,3,https://www.wta.org/go-hiking/hikes/big-bend-natural-area
Big Burn Canyon,Central Washington,16,roundtrip,2850,4850,3,5,46.83584938,-120.7148592,5/7/20,7,https://www.wta.org/go-hiking/hikes/big-burn-canyon
Big Cedar Tree - Kalaloch,Olympic Peninsula,0.1,roundtrip,,25,2.5,4,47.67540897,-124.3990912,1/10/21,10,https://www.wta.org/go-hiking/hikes/big-cedar-tree-kalaloch
Big Cedar Tree - Quinault,Olympic Peninsula,0.5,roundtrip,80,100,4,2,47.47803,-123.90341,8/15/20,6,https://www.wta.org/go-hiking/hikes/big-cedar-tree
Big Chief Mountain,Central Cascades,,,,5858,2,3,,,3/31/19,7,https://www.wta.org/go-hiking/hikes/big-chief-mtn-5858
Big Chiwaukum,Central Cascades,17,roundtrip,5300,8081,0,0,,,6/3/17,1,https://www.wta.org/go-hiking/hikes/big-chiwaukum
Big Craggy Peak,North Cascades,,,,,0,0,,,10/17/20,7,https://www.wta.org/go-hiking/hikes/big-craggy-peak
Big Creek,South Cascades,,,,,3.75,4,46.736,-121.9703,6/27/20,3,https://www.wta.org/go-hiking/hikes/big-creek-2
Big Creek,Olympic Peninsula,4.3,roundtrip,850,1850,3.97,38,47.493317,-123.211017,3/20/21,330,https://www.wta.org/go-hiking/hikes/big-creek
Big Creek Falls,Snoqualmie Region,11,roundtrip,,,3.71,7,47.56007902,-121.5323067,2/27/21,57,https://www.wta.org/go-hiking/hikes/big-creek-falls
Big Creek Falls,Southwest Washington,1.5,roundtrip,300,1900,2.67,6,46.0939,-121.9072667,4/27/19,13,https://www.wta.org/go-hiking/hikes/big-creek-falls-1
Big Creek Trail,Snoqualmie Region,9,roundtrip,2400,3700,0,0,47.1844,-121.1373,8/25/18,2,https://www.wta.org/go-hiking/hikes/big-creek-trail
Big Cross (Pasco),Central Washington,3.1,roundtrip,40,427,0,0,46.25952619,-119.1380596,,0,https://www.wta.org/go-hiking/hikes/big-cross-pasco
Big Crow Basin,South Cascades,,,,,3,4,,,6/18/19,7,https://www.wta.org/go-hiking/hikes/big-crow-basin
Big Finn Hill Park,Puget Sound and Islands,9.5,roundtrip,100,450,2.75,4,47.72433683,-122.2368371,2/24/21,23,https://www.wta.org/go-hiking/hikes/big-finn-hill
Big Flat Habitat Management Unit,Central Washington,6,roundtrip,,,3.5,4,,,12/11/20,1,https://www.wta.org/go-hiking/hikes/big-flat-habitat-management-unit
Big Four Ice Caves,North Cascades,2.2,roundtrip,220,1938,3.95,103,48.06591667,-121.5107333,3/27/21,676,https://www.wta.org/go-hiking/hikes/big-four-ice-caves
Big Four Ice Caves Snowshoe,North Cascades,7,roundtrip,250,1800,3.89,9,48.065107,-121.5067819,3/27/21,159,https://www.wta.org/go-hiking/hikes/big-four-ice-caves-snowshoe
Big Gulch,Puget Sound and Islands,2.6,roundtrip,300,460,3.11,9,47.9150497,-122.2975571,3/12/21,48,https://www.wta.org/go-hiking/hikes/big-gulch-mukilteo
Big Hollow,South Cascades,,,,,2.75,4,,,5/25/20,6,https://www.wta.org/go-hiking/hikes/big-hollow
Big Huckleberry Mountain,Southwest Washington,11.5,roundtrip,,,3,1,45.7976,-121.7412,9/5/20,11,https://www.wta.org/go-hiking/hikes/big-huckleberry-mountain
Big Jim Mountain,Central Cascades,,,,7763,3.5,2,47.67135315,-120.7553922,6/14/20,22,https://www.wta.org/go-hiking/hikes/big-jim-mountain
Big Lava Bed,South Cascades,13,roundtrip,600,4000,3.5,6,45.90796667,-121.8023667,12/27/14,3,https://www.wta.org/go-hiking/hikes/big-lava-bed
Big Meadow Creek,Central Cascades,,,,,4,4,,,5/26/13,2,https://www.wta.org/go-hiking/hikes/big-meadow-creek
Big Meadow Lake,Eastern Washington,2.7,trails,,,3.25,4,48.72655727,-117.5628841,6/29/20,4,https://www.wta.org/go-hiking/hikes/big-meadow-lake
Big Rock Trail,Puget Sound and Islands,1.25,roundtrip,,,0,0,47.60024781,-122.0480432,1/12/19,4,https://www.wta.org/go-hiking/hikes/big-rock-trail
Big Slide,South Cascades,,,,,4,4,45.8816884,-121.9835786,,0,https://www.wta.org/go-hiking/hikes/big-slide
Big Snagtooth,North Cascades,,,4000,8330,0,0,48.54797831,-120.6305695,6/27/20,4,https://www.wta.org/go-hiking/hikes/big-snagtooth
Big Snow Mountain,Central Cascades,,,,,0,0,47.51557034,-121.4528275,8/27/20,8,https://www.wta.org/go-hiking/hikes/big-snow-mountain
Big Tree Loop,Central Cascades,1,roundtrip,,2000,3.25,4,47.86038346,-120.9707358,7/1/19,2,https://www.wta.org/go-hiking/hikes/big-tree-loop
Big Tree Ridge,Issaquah Alps,4.2,roundtrip,1340,1430,3.5,6,47.54700424,-122.0705016,3/3/21,87,https://www.wta.org/go-hiking/hikes/big-tree-ridge
Big Tree Trail,Issaquah Alps,1,roundtrip,110,530,3.4,5,47.52960753,-121.9961282,3/6/21,49,https://www.wta.org/go-hiking/hikes/big-tree-trail
Big Tree Trail,Olympic Peninsula,1.5,roundtrip,200,400,4,5,47.58700585,-122.7344781,3/11/21,43,https://www.wta.org/go-hiking/hikes/big-tree-trail-1
Big Tree Trail,Eastern Washington,2.7,roundtrip,,,0,0,48.8526,-119.0491,10/6/18,2,https://www.wta.org/go-hiking/hikes/big-tree-trail-2
Big Twin,South Cascades,,,,,4,5,,,7/8/13,2,https://www.wta.org/go-hiking/hikes/big-twin
Bill's Peak,Snoqualmie Region,,,,6917,3.67,3,,,11/1/20,14,https://www.wta.org/go-hiking/hikes/bills-peak
Billy Clapp Lake,Central Washington,5,roundtrip,400,1500,2.25,4,47.45254359,-119.2530556,1/23/21,11,https://www.wta.org/go-hiking/hikes/billy-clapp-lake
Billy Creek,Central Cascades,,,,,4,4,,,,0,https://www.wta.org/go-hiking/hikes/billy-creek
Billy Frank Jr. Nisqually National Wildlife Refuge,Puget Sound and Islands,5,roundtrip,10,10,3.97,37,47.0687986,-122.7129036,3/18/21,274,https://www.wta.org/go-hiking/hikes/nisqually-nwr
Billy Goat,North Cascades,9.8,roundtrip,2200,6600,3,5,48.7825357,-120.3178768,9/28/20,27,https://www.wta.org/go-hiking/hikes/billy-goat
Billy Goat Loop,North Cascades,50,roundtrip,5000,7500,5,1,48.78854503,-120.3178024,7/24/20,4,https://www.wta.org/go-hiking/hikes/billy-goat-loop
Billy Ridge,Central Cascades,,,,,4,4,,,5/20/17,1,https://www.wta.org/go-hiking/hikes/billy-ridge
Birch Bay State Park,Puget Sound and Islands,,,,,0,0,48.90693111,-122.766037,7/16/20,4,https://www.wta.org/go-hiking/hikes/birch-bay-state-park
Bird Creek Meadows,South Cascades,3,roundtrip,500,6085,4.14,7,46.1392889,-121.4376365,7/12/19,23,https://www.wta.org/go-hiking/hikes/bird-creek-meadows
Bird Mountain Loop,South Cascades,10.25,roundtrip,1875,5230,3.11,9,46.0471,-121.75615,9/6/19,26,https://www.wta.org/go-hiking/hikes/bird-mountain-loop
Birth of a Lake Interpretive Trail,South Cascades,1.2,roundtrip,,2500,3,2,46.29208441,-122.2663307,1/4/21,8,https://www.wta.org/go-hiking/hikes/birth-of-a-lake
Bishop Ridge,South Cascades,9,roundtrip,3600,5200,3,4,46.4323,-121.7626,7/17/12,1,https://www.wta.org/go-hiking/hikes/bishop-ridge
Bismark Peak,South Cascades,,,,,3.2,5,,,6/22/18,8,https://www.wta.org/go-hiking/hikes/bismark-peak
Black &amp; White Lakes,Olympic Peninsula,15,roundtrip,4000,4200,4,5,47.51570077,-123.3278069,6/19/20,30,https://www.wta.org/go-hiking/hikes/black-white-lakes
Black Canyon,Central Washington,7,roundtrip,1250,,4.27,11,46.8580895,-120.6981557,3/13/21,127,https://www.wta.org/go-hiking/hikes/black-canyon
Black Diamond Open Space,Puget Sound and Islands,17,trails,,700,2,2,47.33733456,-122.0151338,12/30/20,18,https://www.wta.org/go-hiking/hikes/black-diamond-natural-area
Black Hole Falls,South Cascades,10.4,roundtrip,2200,1532,0,0,45.97899,-122.25488,1/31/21,15,https://www.wta.org/go-hiking/hikes/black-hole-falls-hike
Black Lake,North Cascades,8,roundtrip,780,3982,2.89,9,48.78308333,-120.1613333,6/22/20,35,https://www.wta.org/go-hiking/hikes/black-lake
Black Peak,North Cascades,12,roundtrip,5100,8970,3.8,5,48.5181776,-120.7339096,10/5/20,63,https://www.wta.org/go-hiking/hikes/black-peak
Black Pine Lake,North Cascades,,,,,3.5,4,,,9/4/17,4,https://www.wta.org/go-hiking/hikes/black-pine-lake
Black River Riparian Forest,Puget Sound and Islands,,,,,3,2,47.47342512,-122.2390392,3/17/21,8,https://www.wta.org/go-hiking/hikes/black-river-riparian-forest
Blackbird Island - Waterfront Park,Central Cascades,2,roundtrip,100,1100,5,1,47.59391689,-120.6626621,11/3/20,15,https://www.wta.org/go-hiking/hikes/blackbird-island-waterfront-park
Blackhorse Lake Boardwalk,Eastern Washington,,,,,3,4,,,,0,https://www.wta.org/go-hiking/hikes/blackhorse-lake-boardwalk
Blackjack Ridge,Central Cascades,,,,,3.6,5,47.60983333,-120.8903167,7/8/20,23,https://www.wta.org/go-hiking/hikes/blackjack-ridge
Blag Mountain,Central Cascades,,,2300,4687,0,0,47.5922949,-120.5076396,4/15/17,1,https://www.wta.org/go-hiking/hikes/blag-mountain
Blake Island State Park,Puget Sound and Islands,8,roundtrip,190,190,0,0,47.54231774,-122.4829044,7/5/20,13,https://www.wta.org/go-hiking/hikes/blake-island-state-park
Blakely Harbor Park Trail,Puget Sound and Islands,0.3,one-way,,,0,0,47.59746027,-122.5201428,6/3/20,1,https://www.wta.org/go-hiking/hikes/blakely-harbor-park-trail
Blanca Lake,Central Cascades,7.5,roundtrip,3300,4600,4.44,137,47.91536667,-121.3123667,11/29/20,822,https://www.wta.org/go-hiking/hikes/blanca-lake
Blanchard Hill-Incline Alternate Trail,Puget Sound and Islands,4.2,roundtrip,1000,1890,5,1,48.61716526,-122.3855495,3/12/21,25,https://www.wta.org/go-hiking/hikes/incline-alternate-blanchard-hill
Blandford Canyon,Southwest Washington,0.9,trails,75,175,4,1,45.62690725,-122.6181769,2/26/20,5,https://www.wta.org/go-hiking/hikes/blandford-canyon
Blankenship Lakes,South Cascades,,,,,3.67,6,,,8/30/19,20,https://www.wta.org/go-hiking/hikes/blankenship-lakes
Blankenship Meadows,South Cascades,,,,,3.33,6,,,11/3/20,11,https://www.wta.org/go-hiking/hikes/blankenship-meadows
Blazed Ridge,Snoqualmie Region,,,,,3,4,,,10/12/09,1,https://www.wta.org/go-hiking/hikes/blazed-ridge
Blazer Lake,Snoqualmie Region,,,,,4.5,2,47.39783902,-121.4870337,8/13/20,8,https://www.wta.org/go-hiking/hikes/rainbow-blazer-lakes
Blizzard Peak,North Cascades,,,,,2.5,4,,,,0,https://www.wta.org/go-hiking/hikes/blizzard-peak
Blowdown Mountain Road,Snoqualmie Region,,,,,1.67,3,47.53068999,-121.6927359,3/12/21,34,https://www.wta.org/go-hiking/hikes/blowdown-mountain-road
Blowout Mountain,Central Washington,4.6,roundtrip,650,5450,3,4,,,7/28/04,4,https://www.wta.org/go-hiking/hikes/blowout-mountain
Blue Buck,Central Cascades,,,,,3.25,4,48.49772514,-120.1521492,4/24/17,4,https://www.wta.org/go-hiking/hikes/blue-buck
Blue Creek,Central Cascades,,,,,3.6,5,,,6/21/20,3,https://www.wta.org/go-hiking/hikes/blue-creek
Blue Creek,Snoqualmie Region,,,,,2.75,8,,,6/1/19,11,https://www.wta.org/go-hiking/hikes/blue-creek-1
Blue Heron Park,Eastern Washington,0.5,one-way,,,0,0,47.105523,-119.330353,11/21/20,2,https://www.wta.org/go-hiking/hikes/blue-heron-park
Blue Hole,South Cascades,,,,,3.83,6,,,,0,https://www.wta.org/go-hiking/hikes/blue-hole
Blue Horse Trail,South Cascades,10.4,roundtrip,1250,4000,2.5,6,46.16905647,-122.2601207,5/18/19,7,https://www.wta.org/go-hiking/hikes/blue-horse-trail
Blue Jay Way,Central Cascades,,,,,2.75,4,,,,0,https://www.wta.org/go-hiking/hikes/blue-jay-way
Blue Lake,South Cascades,5.2,roundtrip,,5200,3,1,46.2302935,-121.8653854,8/21/17,2,https://www.wta.org/go-hiking/hikes/blue-lake-3
Blue Lake,North Cascades,1.7,roundtrip,300,3984,4.06,16,48.656539,-121.7722613,8/17/20,135,https://www.wta.org/go-hiking/hikes/blue-lake-1
Blue Lake,North Cascades,4.4,roundtrip,1050,6254,4.37,65,48.51911667,-120.6742167,11/2/20,496,https://www.wta.org/go-hiking/hikes/blue-lake
Blue Lake Creek,South Cascades,4.8,roundtrip,2100,4000,3.5,10,46.40373345,-121.7358236,9/5/20,24,https://www.wta.org/go-hiking/hikes/blue-lake-creek
Blue Lake High,Central Cascades,,,,,3.5,4,48.0448418,-121.258825,10/9/20,50,https://www.wta.org/go-hiking/hikes/blue-lake-high
Blue Lake via Cultus Creek,South Cascades,13,roundtrip,700,5200,2.17,6,46.0471,-121.75615,6/30/19,9,https://www.wta.org/go-hiking/hikes/blue-lake-2
Blue Mountain - Deer Park Snowshoe,Olympic Peninsula,14,roundtrip,2500,6000,3.5,2,,,9/27/20,5,https://www.wta.org/go-hiking/hikes/blue-mountain-deer-park-snowshoe
